Serial number,Urdu word,Roman Urdu Words,English meaning of the word
53,طرح,tarh,"air, grace, beauty, foundation, base, kind, type, like, mode, manner, way, plan, design, versification pattern (with given rhyme and metre)"
54,تھی,thii,was
55,گا,gaa,sing
56,کہا,kahaa,"say, speak, tell"
57,اگر,agar,incense stick/ if/ however
58,ہوا,hu.aa,"past tense of 'honaa', happened, done"
59,جا,jaa,"place, location, room, seat"
60,رہے,rahe,"stay, remain, stop, be, continue to live"
61,والے,dulhan vaale,The ones
62,گئی,gīe,"gone, gone"
63,اسی,usii,that
64,ہونے,hone,"be, become, occur, happen"
65,ہوتا,hotaa,"inflection of ہونا (honā):, masculine singular habitual participle"
66,کچھ,kuchh,"some, few, any, whatever, something, anything, little (quantity), poisonous (thing)"
67,ہوں,huu.n,Yes
68,گے,ga.e,"gone, went"
69,گئے,gīe,"gone, gone"
70,اسے,use,him
71,رہا,rahaa,"past tense of 'rahna', left, missed, stayed, remained"
72,سب,sab,"All, Every, Total"
73,ہر,har,"every, each, any, all"
74,دی,dii,"the day before today, yesterday"
75,پھر,phir,"afterwards, subsequently, thereafter, then"
76,اب,ab,"now, at this moment, right now"
77,وقت,vaqt,term
78,طور,taur,"state, condition, quality"
79,جاتا,jaataa,"going, gone"
80,قرآن,qur'ān,Qur'an
81,بہت,bahut,"enough, much, many, excessive, abundant, plentiful, too much, in or to a great degree, copious, very, very much, excessively, exceedingly"
82,صرف,sirf,"only, mere, alone"
83,دو,do,"two, few, some, separate, paired, give"
84,کرنا,karnaa,"be shy, feel ashamed, become notched or jagged (of edge), decay, crumble, wear out"
85,سکتا,saktaa,"strength, power, energy"
86,صاحب,saahab,"sahib, title of courtesy"
87,بے,be,"Without, Void Of"
88,دنیا,duniyaa,"world, universe, earth"
89,زیادہ,zayaada,"many, more, surplus, in excess, excessive, additional"
90,طرف,taraf,"side, direction, quarter, towards"
91,بلکہ,balki,"but, on the contrary, moreover, furthermore, but, also, rather, on the contrary"
92,نظر,nazar,"looking at, sight, vision, view"
93,مطابق,mutaabiq,"like, equal, corresponding (to), conforming (to)"
94,ہوئی,hūe,"inflection of ہونا (honā):, feminine singular perfective participle"
95,پیش,pesh,presented
96,بیان,bayaan,"statement, declaration, description, account, narration"
97,جن,jin,"whom, which, that, who, that which"
98,اسلام,islaam,"Islam, the religion"
99,پہلے,pahle,"first, firstly,foremost, prior, previously, formerly, at one time, at first, in the first instance first of all"
100,دے,de,give
101,نام,naam,"fame, good name, reputation, honour, to call name, name, appellation, title"
102,بن,ban,root word of 'banna'
103,حکومت,hukuumat,"government, governance, power, rule, authority, jurisdiction"
104,وجہ,vajah,"allowance, pension"
105,رہی,rahii,"stay, remain, stop, be, continue to live"
106,گی,gii,will
107,مگر,magar,"If not, unless, except, save, save only, but; besides, however, moreover"
108,خود,KHud,"oneself, self (my, thy)"
109,ہوتی,hotii,happen
110,ملک,mulk,"dominion, sovereignty, rule, reign"
111,کام,kaam,"affair, concern, busyness, desire, wish, intention, purpose, pursuit, feat, achievement, love, sex, passion, the palate, mouth, chewing well, uvula, use, work, task, occupation, service, duty, business, workmanship, embroidery, artistic carving or paint-works"
112,لوگوں,logõ,drive a wedge b/w people
113,تمام,tamaam,"complete, finished"
114,خلاف,KHilaaf,averse (to)
115,حاصل,haasil,"produce of land, yield, land produce, product, revenue, net produce"
116,علیہ,'alaih,on him
117,لئے,līe,for
118,کرتا,kartaa,"doer, agent, author"
119,لوگ,log,"mankind, people, folk"
120,کریں,"kare.n kalluu, bhare.n lalluu",do it
121,ہمارے,hamaare haa.n,"here, in our region, country, society, family or environment"
122,یہی,yahii,"this, the very same, just like this"
123,لیا,liyaa,"took, got, obtained"
124,والی,vaalii,"chief, governor"
125,عمل,'amal,"work, labour, service, employment, business, office, post"
126,آج,āj,today
127,موجود,maujuud,that which is or exists
128,کم,kam,"little, few, less, deficient, seldom, rare, scanty"
129,یہاں,yahaa.n,"here, in this place or country, hither"
130,زندگی,zindagii,"life, living, existence"
131,انھوں,inho.n,"third person who is close or nearby, this person, these people"
132,سال,saal,"year, the period of 365 days (or 366 days in leap years) starting from the first of January"
133,لے,liye,"for, for the sake of"
134,انسان,insaan,"man, human being"
135,خان,KHaan,"title used for the Pathans/ Lords/ Princess, Chief"
136,جاتی,jaatii,"caste, race, community"
137,دوسرے,duusre,"others, second, secondly"
138,قرار,qaraar,"peace, tranquility, calmness quietness, rest, repose"
139,بارے,baare,"about, in connection with"
140,کہنا,kahnaa,"advise, declare, assert, affirm, avow, relate, say, tell, speak, utter, versify"
141,دونوں,donon,"both, both of, the two, both of them, the two of, the twain"
142,جانے,jaane,"past tense of 'jaanaa', go"
143,بنا,banaa,"without, prepared without"
144,ء,,"The thirty-fifth letter of the Urdu alphabet, called ہَمْزَہ (hamza, “Hamza”) and written in the Arabic script."
145,ایسے,aise,like these
146,مختلف,muKHtalif,"different, dissimilar, unlike"
147,دور,duur,"distance, remoteness"
148,آئی,āī,"inflection of آنا (ānā):, feminine singular perfective participle"
149,غیر,Gair,"another person, an outsider, a stranger, foreigner"
150,پیدا,paidaa,"produced, born, created, generated, manifest, available provided,earned, gained, acquired, procured,invented, discovered, exhibited"
151,جلد,jald,"quick, fast, rapid"
152,ہوتے,hote,"be, become, occur, happen"
153,سامنے,saamne,"opposite, before, in presence of"
154,وسلم,was-sallam,was-sallam
155,صلی,saliibiyyah,only used in صلیٰ اللہ علیہ وسلم (sallā-llāhu 'alayhi wa-sallam)
156,صورت,suurat,"face, countenance, form, figure, appearance"
157,کیے,kiye par naadim honaa,be sorry for one's acts
158,افراد,afraad,"persons, individuals, members"
159,واضح,vaazeh,"evident, manifest, obvious, clear, apparent"
160,شروع,shuruu',"start, commencement, beginning, onset, initiation"
161,علی,'alaa,"on, upon, above, at"
162,عورت,'aurat,wife
163,علم,'ilm,"knowing, understanding, being learned"
164,حوالے,havaale,"custody, care, possession"
165,جہاں,jahaa.n,"the world, universe, the people"
166,دن,din,"a person's destiny, fate"
167,استعمال,iste'maal,"use, utilization, employment, application, usage, operation"
168,مجھے,mujhe,"myself, to me, me"
169,سی,sayaa',Plaster.
170,ایسا,aisaa,"Like This, This Kind, Such, Thus"
171,چاہیے,chaahiye,"like, must, should, ought, want, wish, choose, requirement, needed"
172,انھیں,unhe.n,"form of third person, them, those, him"
173,کتاب,kitaab,"a writing, despatches"
174,انہوں,unho.n,"third person who is far away, that person, those people"
175,دین,dene,give
176,سیاسی,siyaasii,"pertaining to public affairs or politics, political, diplomatic"
177,محمد,mohammad,"Greatly (or highly) praised, the praised one"
178,حضرت,hazrat,"word of respect, title prefixed to the name of a prophet, saint or any respected person"
179,یعنی,yaa'nii,"for, because"
180,شامل,shaamil,"surrounding in every part, encompassing"
181,حکم,hukm,"order, command, decree"
182,جبکہ,jabki,"when, however, whereas, whilst, while, at the time"
183,حق,haq,"benefit, interest, behalf, privilege, claim, title, due, appropriate, duty, responsibility, justice, equity, rectitude, justness, reality, fact, right, due portion or share, proprietorship, truth, God, rightness, righteousness, propriety, correctness"
184,کیونکہ,kyuu.nki,"then, because"
185,دوسری,duusrii,"other, second"
186,دیتے,duhaa.ii dete phirnaa,Give
187,جانب,jaanib,"direction, side, from, towards, party or person as a side in an agreement or dispute"
188,خدا,KHudaa,"Allah, God, the supreme being, lord, master, deity, divinity"
189,جاری,jaarii,"running, continuing, continuous, proceeding, promulgated, flowing, in force, prevalent, current, in use, issued (book, etc.)"
190,وزیر,vaziir,assistant
191,سکتے,sakte,"trances, pauses"
192,جیسے,jaise,"like, as, as much as, just as"
193,کبھی,kabhii,"sometime, ever, at any moment"
194,اپنا,apnaa,"my, mine, our, ours, one's"
195,اردو,urdu,"Rekhta, Hindawi"
196,روایت,rivaayat,"legend, narrative, story, tradition, history, tale"
197,قائم,qāim,"unwavering, fixed, firm"
198,پی,piyaa,drink
199,شخص,shaKHs,"existence, person, individual, being, body, a bulky or corpulent body"
200,کرے,kare,do
201,رسول,rasuul,"messenger, emissary"
202,بعض,baa'z,"some, certain, few, several"
203,تم,tum,You
204,میرے,mere,"mine, my"
205,دینے,dene,give
206,سکتی,sakti,Sakti
207,عام,'aam,"common, public, universal, general, usual"
208,کئی,kaī,several
209,زبان,zabaan,"tongue, language, dialect, speech"
210,جاتے,jaate,"go, move"
211,اہل,ahl,"able, fit, apt, worthy, suitable for a task, deserving, capable, having"
212,بڑی,ba.Dii,"big, elder"
213,کیوں,kyo.n,why?
214,تعلق,ta'alluq,"connection, relation, dependence, concern"
215,جائیں,jaayee,"go, move"
216,گھر,ghar,"house, dwelling, mansion, habitation, abode, home"
217,مولانا,maulaanaa,our Lord
218,ایسی,aisii,like these
219,دل,dil,heart (the organ)
220,انہیں,unhii.n,those very (thing or persons)
221,رنگت,ra.ngat,complexion
222,پاس,pās,"be present or at hand, remain near, live with"
223,شریف,shariif,"of high rank or dignity, exalted, eminent, honourable, noble"
224,اسلامی,islaamii,"Islamic, pertaining to Islam and the Muslim history and civilization"
225,ہمیں,hame.n,"us, to us"
226,نبی,nabii,"nabi, prophet, revealer or interpreter of God's word, Prophet"
227,ہاتھ,haath,"hand, arm"
228,اہم,aham,"important, significant, momentous"
229,قوم,qaum,"group of people, company of men"
230,عوام,'avaam,"the commonalty, the common people, the common sort"
231,احمد,ahmad,one who praises the most
232,مسلم,muslim,"obedient, compliant, dutiful, submissive,(means) one who professes Islam, Muslim, follower of Islam"
233,اے,hai,is
234,جواب,javaab,"answer, reply, response"
235,کرتی,kartii,do
236,دوران,dauraan,"time, duration"
237,اختیار,iKHtiyaar,"jurisdiction, management, rule, sway"
238,آباد,mahkama-e-aabaadkaarii,rehabilitation department
239,الفاظ,alfaaz,"words, articulate sounds, terms"
240,آیا,āyā,"ayah: nurse maid, nurse"
241,والا,vaalaa,"exalted in dignity, high, eminent, respectable, superior, forming nouns and adjectives, inhabitant, master, lord, owner, wallah, agent, keeper"
242,کوشش,koshish,"try, endeavour, striving, attempt, effort, exertion"
243,تاریخ,taariiKH,"time of occurrence, time of of the event"
244,مرد,mard,"male, man, fellow, hero, brave person, husband, brave, courageous"
245,ضرورت,zaruurat,"want, necessity, exigency, need, occasion (for), desire (of)"
246,خیال,KHayaal,"apparition, spectre, phantom, delusion"
247,بار,baar,"time, turn"
248,آئے,āī,"inflection of آنا (ānā):, feminine singular perfective participle"
249,تاہم,taaham,"however, yet, still, nevertheless, nonetheless all the same, albeit"
250,نظام,nizaam,"habit, way of life, disposition, custom, practice, conduct"
251,فرمایا,farmaayaa,"said, told"
252,تین,tiin,three
253,عمر,'umr,"age, life, span of life"
254,ہوگا,hogaa,"I don't care, may or might be, shall or will be perhaps, probably, most likely, will happen"
255,دیگر,diigar,"other, another, next, following"
256,بڑے,ba.De,big
257,مسلمانوں,musalmanõ,plural of مسلمان
258,پوری,porii,Puri
259,ٹی,Tyo,"habit, custom, manner, way, mode"
260,قتل,qatl,"murder, homicide, killing, assassination, massacre"
261,کیلئے,keliye,"کے (ke) + لئے (liye) (alternative form of لیے (liye), for"
262,سوال,savaal,arithmetical sum
263,چند,chand,"a few, some, several, sundry, a little, for sometime"
264,امام,imaam,"one who stands before or is followed in prayers, minister or reader of a mosque"
265,معلوم,maa'luum,"apparent, clear, evident, known, famous, celebrated, given"
266,ڈاکٹر,doctor,"doctor, physician"
267,ہماری,hamaarii,"ours, mine, our, of us"
268,دیں,dii.n,"faith, religion"
269,ابن,ibn,"son, child"
270,قانون,qaanuun,"rule, law, canon, ordinance, statute"
271,والوں,phuul vaalo.n kaa mela,those
272,جگہ,jagah,"place, station, locality, quarter, room"
273,حصہ,hissa,"part, portion, division, share, segment"
275,وہاں,vahaa.n,"there, thither, yon, yonder"
276,فیصلہ,faisla,"decision, settlement, verdict"
277,اصل,asl,"original, source"
278,آنے,āne,for
279,تعلیم,taa'liim,"education, instruction, teaching, teaching by a Sufi master or adept, teaching of singing and dancing"
280,حقیقت,haqiiqat,"fact, reality, truth, condition, value, worth"
281,کراچی,karaachii,name of a city in Pakistan
282,جنگ,jang,"war, battle, fight, combat"
283,ہونا,honaa,attain (to)
284,پولیس,paulesii,The police
285,علاوہ,'alaava,"besides, moreover"
286,مزید,maziid,"more, additional, further"
287,حدیث,hadiis,"history, tradition"
288,چنانچہ,chunaanche,"accordingly, in such a manner, that is, at last"
289,حال,haal,"condition, state, situation, circumstance, case, history, narration, account, story, state of ecstasy and fervour, the present time or age, uncontrolled bodily movements resembling dance in such a state of ecstasy, spiritual ecstasy"
290,کس,kise,"whom, someone"
291,میڈیا,social-media,social media
292,مسلمان,musalmaan,"a person who believes Allah and all his prophets, all his books, all angels and last day, Muslim, one who's believe in Islam"
293,مذہبی,maz.habii,"religious, relating to religion"
294,متعلق,muta'alliq,"belonging to, concerning , relating (to)"
295,موقع,mauqa',"a place where anything falls, or happens"
296,بتایا,kis KHudaa ne bataayaa,told
297,چیز,chiiz,"thing, article, item, commodity"
298,قومی,qaumii,"of or relating to a people, or nation, national"
299,ایم,m.a,M.A
300,سکے,sikke,coins
301,ریاست,riyaasat,"dominion, rule, sway"
302,ختم,KHatm,"done, concluded, completed, terminated, ended, finished"
303,ثابت,saabit,"prove, confirm"
304,ذکر,zikr,"recital of the praise and names of God, thanking God, prayer, supplication"
305,خاص,KHaas,"appropriate, proper"
306,جان,jaan,"knowing, knowledge, awareness, apprehension, opinion"
307,نواز,navaaz,"caressing, soothing, cherishing"
308,میری,merii.n,feminine singular of میرا (merā)
309,آیت,āyat,verse (of the Qur'an)
310,حیثیت,haisiyat,"rank, status, prestige, dignity"
311,کہیں,kahe.n,"say, speak, tell"
312,بنیاد,buniyaad,"basis, base, basic, elementary, foundation, ground-work, roots, origin,power, sources, capacity,belongings, possessions,start, beginning"
313,کردار,kirdaar,"way, practice, habit, wont"
314,روز,roz,a day of twenty-four hours
315,ھے,hē,"inflection of ہونا (honā):, masculine plural perfective participle"
316,ضروری,zaruurii,"necessary, indispensable, essential, unavoidable, obligatory, requisite, needful, urgent"
317,پارٹی,party-politics,political group
318,معنی,maa'naa,meaning
319,آ,aaTe,"ground wheat, flour"
320,انسانی,insaanii,"human, humanity"
321,بچوں,bachcho.n,"children, babies, kids"
322,تحریک,tahriik,"putting in motion, motion or formal proposal put up for approval, motion"
323,دہشت,dahshat,"consternation, fear, fright, terror, dismay, dread, awe, alarm"
324,عرب,'arab,"Arabia, an Arabian national, the one who is haling from Arab Sub-continent, an Arab"
325,فلم,film-band,"film, movie"
326,ذریعے,zariye,"means, means, means"
327,پاکستانی,pākistānī,ii am i am pakistani
328,ادا,adaa,"(of a task) completion, perfection"
329,رکھا,rakhaa,"keep, rest, put, store"
330,شاہ,shaah,queen bee
331,رکھنے,rakhen,"to keep, to rest, to put, to store"
332,نماز,namaaz,the prayers prescribed by Islam
333,ہاں,haa.n,"assurance, assent, permission"
334,سر,sar,"secret, mystery"
335,دیتا,detaa,"giving, to give"
336,اظہار,iz.haar,"manifestation, revelation, disclosure, demonstration, publication, display, declaration"
337,اعظم,aa'zam,the greatest
338,مجید,majiid,"glorious, honourable, adjacent with Holy Quran"
339,لاہور,lahore,Lahore-name of city
340,جماعت,jamaa'at,"group, crowd"
341,انداز,andaaz,caster or thrower
342,درمیان,darmiyaan,"centre, middle, between, among, during"
343,کہتے,kahte,said
344,اندر,indar,"Hindu God of rain, Indar-mythological king"
345,رکھتے,rakhte,"to keep, to rest, to put, to store"
346,تعالیٰ,ta'aalaa,"an epithet of Allah, God"
347,سو,so,"hence, because of, therefore, then,"
348,لفظ,lafz,"word, vocable, saying"
349,وہی,vahii,"himself, herself, itself"
350,قبل,qabl,"previous (to), before"
351,صدر,sadr,"the chest, chest, bosom, upper front part of body"
352,لگا,lagaa.o,"affection, attachment, connection, relation, adherence, inclination, bent of mind"
353,کار,kaar,"business, work, function, profession, duty"
354,بغیر,baGair,"without, except"
355,ظاہر,zaahir,"evident, obvious, apparent, clear, open, conspicuous, manifest, visible, plain"
356,مکمل,mukammal,"completed, perfected, made up"
357,جی,jii,"an honorific suffix to the name of a person, god or goddess, an honorific suffix to the name of a person, god or goddess, polite or honorific form of ""yes"""
358,امریکی,amreciya,American
359,شہر,shahr,"city, town"
360,مذہب,maz.hab,"way, course, mode, or manner, of acting or conduct or the like"
361,بالکل,bilkul,"certainly, sure, entirely, totally, altogether, wholly, completely"
362,مل,mil,"meet, come together, gather, assemble"
363,یاد,yaad,commemoration
364,یوں,yuu.n,"for no particular reason, without just ground, like this, thus, in this manner, just so"
365,درمیانی,darmiyaanii,"middle, central"
366,ممالک,mamaalik,"kingdoms, states, dominions, provinces, countries, regions"
367,بچے,bachche,"child, babe, sapling, young one of any creature"
368,قبول,qubuul,"acceptance, accession, admissibility, admission, admittance, agreement, approval"
369,بحث,bahs,"(lexical) research, scholarly or learned investigation"
370,لکھا,likhaa,"fate, destiny"
371,باوجود,baavujuud,"despite, in spite of, notwithstanding"
372,بھارت,bhaarat,the ancient name of undivided of India
373,میرا,meraa,"my, mine"
374,سزا,sazaa,"imprisonment, sentence, punishment, chastisement, penalty"
375,دیکھ,dekh,"look, see, watch"
376,بھر,bhar,"as far as, as much as, enough or sufficient for, at most"
377,بنیادی,buniyaadii,"fundamental, primary, basic, principal"
378,پہ,pe,upon-on
379,ذمہ,zimma,burden (of proof)
380,ہزار,hazaar,a thousand
381,بڑا,ba.Daa,"a small spicy cake made of ground pulse, fried in oil and soaked in yoghurt"
382,باعث,baa'is,"occasion, cause, reason, motive, incentive"
383,جسے,jise,"those, whom"
384,فکر,fikr,"concern, anxiety, worry"
385,عالم,'aalam,"the world, universe"
386,آگے,āge,"to come forward, come in sight, to advance, approach, draw near, to confront, face, defy, challenge, to come between, interpose, to come to pass, happen, occur, befall, betide, to come upon (retributively), to return, revert, to reap what one has sown"
387,بی,bii,"used in addressing ladies, lady"
388,سنت,sant,simple man
389,تصور,tasavvur,"imaging or picturing (a thing) to the mind, imagination, fancy"
390,قسم,qasam,"oath, vow, act of swearing"
391,قابل,qaabil,"able, capable, deserving, eligible, worthy of or fit for"
392,ممکن,mumkin,"possible, practicable, feasible, likely, conceivable, practical"
393,تعداد,taa'daad,"number, strength, sum, amount, enumeration, computation"
394,تحت,taht,beneath/below
395,چکے,chakke,"looked, saw, watched"
396,سیاست,siyaasat,"management, conduct (of affairs), right ordering, rule, government, governance, administration"
397,دیکھا,dekhaa,saw
398,حد,had,"edge, boundary, limit, extreme, extremity, utmost point or degree, extent, obstruction, impediment, restriction, bar"
399,نئی,naī,"inflection of نیا (nayā, “new”):, feminine singular direct"
400,حالات,haalaat,"circumstances, facts, conditions, particulars, state of affairs"
401,پسند,pasand,"choice, approval, preference, discretion"
402,بجائے,bajāe,"instead, alternatively"
403,حسین,hasiin,"beautiful, comely, charming, handsome, beauteous, pretty, gorgeous"
404,دار,daar,"country, district"
405,پانی,paanii,water
406,بنایا,banaayaa,"made, created"
407,بنانے,banaane,"to make, to create"
408,پہلی,pahlii,"first, primarily"
409,اصول,usuul,"dogma, doctrine, principle, rule"
410,وغیرہ,vaGaira,"etcetera, etc., and so forth, and others"
411,مقصد,maqsad,"purpose, intention, design, object, objective, aim"
412,خواتین,KHavaatiin,"ladies, women"
413,صحیح,sahiih,"correct, right, sound, perfect, accurate, exact, true, pure"
414,معاشرے,mu'aashare,society
415,چار,chaar,"four, a few, a small number"
416,رہ,rah,"path, way, road"
417,آدمی,mufarrah-aadmii,man
418,وجود,vujuud,"existence, being, substance, life"
419,اقبال,iqbaal,"luck, good fortune"
420,آتا,aataa,"happened, occurred, taken place, befalled, befallen, happened, occurred, taken place, befalled, befallen"
421,عمران,'imraan,the name of Prophet Moses's father and Mariya's father name
422,رائے,rāe,king
423,روپے,ruupe,rupees
424,نئے,nīe,for
425,لیں,le,"let, allow, permit, grant, grant permission"
426,ادارے,idaare,"to set up, to establish, to erect, to build, to construct, to set up, to establish, to erect, to build, to construct"
427,باقی,baaqii,"leftover, remnants, remains, scraps, remaining, stayed, remained"
428,ابھی,abhii,"just now, instantly, immediately, in a short while, present moment, without any delay"
429,باہر,baahar,exceeding
430,خبر,KHabar,"knowledge, acquaintance"
431,چکا,chakkaa,"wheel, circular, round"
432,درست,durust,"accurate, proper, becoming, just, right, correct, true, fit, suitable, straight, well, safe, sound, precise, entire"
433,مدد,madad,"help, assistance, aid, relief"
434,پاک,paak,"clean, pure"
435,زمین,zamiin,"earth, land, ground, soil, country, region,"
436,دینا,denaa,"afford, offer, allot, allow, emit, give forth, give (birth), give, confer, lay (eggs), pay (a debt, etc.), produce, yield, raise (a cry for help)"
437,اعلان,e'laan,"advertisement, publishing"
438,الگ,alag,"aloof, isolated, detached, disconnected, dislocated, loose, apart, to or on one side, distinct, discrete, unique, peculiar, apart, parted, separated, unattached, into pieces,"
439,داری,daarii,"woman captured in battle, woman enslaved in battle loose woman, a female slave taken in war, slave girl"
440,ترقی,taraqqii,"progress, advancement, development, promotion, improvement, enhancement"
441,انصاف,insaaf,"justice, equity, fair play, fairness, impartiality, dividing into halves"
442,سید,sayyad,name of a high caste
443,آخری,āxirī,"final, last"
444,محض,mahz,"absolute, pure, unmixed, unalloyed, mere, only, simple, merely"
445,آزاد,banda-e-aazaad,"free, independent"
446,پنجاب,punjab,state of Punjab
447,نظم,nazm,"organization, order, arrangement (of pearls or beads in a row)"
448,بس,bas,"enough, sufficient"
449,مثال,misaal,"example, instance, specimen, model, precedent"
450,کیسے,kaise,What-like? what sort of? what kind or manner of?
451,تیار,taiyaar,"(Lexical) stormy, intense, acute, tumultuous"
452,معاملے,m'amlye,The matter
453,غلط,Galat,untrue
454,قریب,qariib,"near, close to, nigh, neighbouring, adjacent"
455,ایران,iiraan,Iran- a country
456,کہہ,kah,"say, speak, tell"
457,بند,band,a trick in wrestling
458,کون,kaun,"what? which? who? what kind of? no one (as negative interrogative), Being, Existence"
459,ملا,milaa,"past tense of 'milna', obtained, met with, found, united, mixed"
460,زیر,zer,"under, below, inferior, diacritical mark"
461,وزیراعظم,vaziir-e-aa'zam,"the grand Vizier, prime minister"
462,دیے,diye,gave
463,موت,maut,"dying, death, mortality"
464,ایمان,iimaan,"faith, firm, belief"
465,تر,tir,"to sort, to arrange, to sort, to arrange"
466,بہتر,behtar,"better, preferable, superior, worthier"
467,تحقیق,tahqiiq,"research, ascertaining the truth, truth, exactness, fact, verification"
468,حسن,husn,"beauty, elegance, comeliness, loveliness"
469,معاملہ,mu'aamala,"business, deal, transaction"
470,محبت,mahabbat,"love, dearness"
471,شکار,shikaar,"shikar, hunting, sporting, hawking"
472,شام,shaam,"an appellation of Hindu god Krishna, evening, iron head or ring of wooden pestle, metallic tip of a walking stick or umbrella, etc. Syria"
473,جدید,jadiid,"recent, fresh"
474,سیاہ,syaah,"black, dark, inauspicious, unfortunate"
475,تاکہ,taa-ki,"so that, in order that"
476,مقام,maqaam,"status, dignity, position, place, location,occasion, opportunity, situation, encampment, halt"
477,نزدیک,nazdiik,"near, close"
478,وی,ve,"and, also"
479,محسوس,mahsuus,"feel, perceived, realized, tangible"
480,فی,fii,"deceit, decoy, conspiracy"
481,سطح,sat.h,"expanse, platform, surface layer, surface"
482,کل,kal,"rest, ease, tomorrow, yesterday"
483,شاید,shaayad,"It may be, perhaps, perchance, possibly, probably"
484,مسجد,masjid,"masjid, mosque, place or house of prayer"
485,جنرل,general-store,general store
486,مسائل,masaayil,"problems, issues, problems, issues"
487,کلام,kalaam,"speech, discourse, conversation"
488,جیسا,jaisaa,"like, of the same form, bearing resemblance"
489,کشمیر,kashmiir,"name of state in India, famous for greenery, beauty and Dal Lake"
490,شریعت,sharii'at,the religious law of God
491,سمجھ,samajh,understanding
492,مراد,muraad,"what is willed or wished or intended, desire, will, purport, tenor, object, end, meaning"
493,ہمیشہ,hamesha,"ever, at all times, all the time, perpetually, in perpetuity"
494,رقم,raqam,"writing, hand-writing, character"
495,ترین,tariin,"extreme, utmost, a tribe of Pathans, forming the superlatives of adjectives"
496,فوج,fauj,"army, force"
497,امن,amn,"security, safety"
498,اختلاف,iKHtilaaf,"difference, disagreement, discord"
499,ٹیم,Tem,snuff or flame of a candle
500,ادب,adab,"being courteous, etiquette, polite, decorum, civility, well-bred"
501,سماجی,samaajii,"man who plays tabla, sarangi, etc. at the place of prostitutes, social, society, community"
502,چکی,chakkii,"mill, stone hand-mill, quern"
503,لینے,lene,"obtain, take"
504,آغاز,āġāz,start
505,علاقے,'ilāqe,beyond limits or jurisdiction of
506,شائع,shayee,"seen, seen"
507,روشنی,raushnii,clearness (of vision)
508,چاہتے,tchahtye,want
509,سمیت,samet,"together with, along with, including"
510,رات,raat,darkness
511,مسئلہ,masala,"problem, issue"
512,نتیجے,natiije,results
513,آتی,aatii,"happened, occurred, taken place, befalled, befallen, happened, occurred, taken place, befalled, befallen"
514,لی,liyo,take
515,مضمون,mazmuun,"essay, article, composition, topic"
516,آف,aafiriin,"praise, applause, bravo"
517,ا,u,"The first letter of the Urdu alphabet, written in the Arabic script; followed by ب."
518,دوسرا,duusraa,"second, next, another, other, following"
519,عالمی,'aalamii,"of the world, existing in the world"
520,امریکہ,amrīka,america duffer
521,گزشتہ,guzashta,"past, elapsed"
522,ہوگی,hogii,"to happen, to occur, to take place, to befall, to befallen, to happen, to occur, to take place, to befall, to befallen"
523,عدالت,'adaalat,"equity, justice, being just, law, right"
